Title: Estimation of stellar ages and masses using Gaussian process regression 
Authors: Bu Y., Kumar Y.B., Xie J., Pan J., Zhao G., Wu Y. 
Table: Masses and ages of stars from Ness data set
================================================================================
Byte-by-byte Description of file: apjsab8bcdt8_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label  Explanations
--------------------------------------------------------------------------------
   1-  8 F8.4   deg       RAdeg         Right Ascension, decimal degrees (J2000)
  10- 16 F7.4   deg       DEdeg         Declination, decimal degrees (J2000)
  18- 21 I4     K         Teff          Temperature derived from LAMOST spectra (1)
  23- 26 F4.2   [cm/s2]   logg          log g derived from LAMOST spectra (1)
  28- 33 F6.3   [-]       [Fe/H]        Metallicity derived from LAMOST spectra (1)
  35- 39 F5.2   [-]       [alpha/Fe]    {alpha} abundance derived from LAMOST spectra (1)
  41- 44 F4.2   Msun      Mass-in       Mass given by the Cannon (1)
  46- 49 F4.2   Msun      Mass-G        Mass given by GPR
  51- 55 F5.2   Gyr       Age-G         Age given by GPR
--------------------------------------------------------------------------------
Note (1): Values taken from Ness et al. (2016ApJ...823..114N)
--------------------------------------------------------------------------------
325.6746  2.0961 4696 2.32 -0.243  0.19 0.90 0.95 10.17 
325.6777  6.6525 4850 3.23 -0.037  0.16 1.02 1.03 10.40 
325.6892  2.2947 4623 2.19 -0.252  0.06 1.51 1.32  2.93 
325.6900  2.2842 5023 2.72 -0.235  0.12 1.08 1.27  1.70 
325.6917  2.8617 4938 3.03 -0.142  0.08 1.55 1.41  3.74 
325.6940  1.8086 5013 2.99  0.065  0.00 2.33 1.83  1.55 
325.7029  8.4672 5077 2.85  0.106  0.00 2.53 1.88  0.56 
325.7162  8.7300 4588 2.29 -0.186  0.15 2.35 1.03  8.34 
325.7269  5.4119 4535 2.46  0.279  0.04 2.01 1.39  4.08 
325.7293  7.1717 4290 1.78  0.006  0.00 1.64 1.51  3.57 
325.7351  5.1989 4245 1.64  0.010  0.08 1.52 1.35  6.24 
325.7596  5.9814 4906 2.95 -0.373  0.12 1.27 1.35  4.87 
325.7603  4.4908 4788 2.49  0.060  0.07 0.87 1.33  4.21 
325.7609  8.7508 4423 2.34  0.077  0.06 1.16 1.30  8.12 
325.7727  2.9133 5070 2.90 -0.084  0.04 2.37 1.67  0.90 
325.7885  4.9764 4324 1.71 -0.129  0.06 1.17 1.39  3.42 
325.7946  9.7903 4832 2.46  0.120  0.05 1.04 1.40  3.04 
325.8008  7.3878 4158 1.62  0.008  0.05 1.15 1.42  5.94 
325.8071  2.3544 4588 2.26 -0.576  0.26 1.09 0.90  8.43 
325.8110  4.9108 4594 2.41  0.010  0.07 1.49 1.28  6.56 
325.8232  4.6367 4364 2.02  0.167  0.04 1.60 1.36  4.22 
325.8455  7.0369 4551 2.60  0.227  0.05 1.22 1.40  4.92 
325.8460  8.7667 4830 3.25  0.227  0.05 1.12 1.24 10.16 
325.8569  7.4119 4630 2.73  0.122  0.05 1.54 1.48  6.47 
325.8627  2.9206 4726 2.31 -0.472  0.08 1.60 1.29  4.30 
325.8644  4.7750 4861 2.58 -0.137  0.08 1.79 1.36  3.27 
325.8655  2.9800 4952 2.72 -0.105  0.03 2.37 1.73  1.72 
325.8725  8.2758 4986 2.34 -0.740  0.26 1.05 0.92  9.68 
